方劑名,組成,傷寒論主治,治療意圖
茵陳蒿湯,茵陳蒿6兩/梔子4.2兩/大黃2兩,陽明濕熱,清熱利濕退黃
吳茱萸湯,吳茱萸5兩/人參3兩/生薑6兩/大棗3.6兩,肝胃虛寒,溫中降逆
麻子仁丸,麻子仁10兩/芍藥8兩/枳實8兩/大黃16兩/厚朴4兩/杏仁5兩,津亏便秘,潤腸通便
梔子柏皮湯,肥梔子1.5兩/甘草1兩/黃柏2兩,濕熱發黃,清熱利濕
麻黃連軺赤小豆湯,麻黃2兩/連軺2兩/杏仁0.8兩/赤小豆5兩/大棗3.6兩/生梓白皮5兩/生薑2兩/甘草2兩,陽明濕熱,解表退黃
桂枝加芍藥湯,桂枝3兩/芍藥6兩/甘草2兩/大棗3.6兩/生薑3兩,太陰腹滿,溫通活血
桂枝加大黃湯,桂枝3兩/大黃2兩/芍藥6兩/生薑3兩/甘草2兩/大棗3.6兩,陽明實邪,活血通便
麻黃細辛附子湯,麻黃2兩/細辛2兩/附子0.3兩,太少兩感,溫陽解表
麻黃附子甘草湯,麻黃2兩/甘草2兩/附子0.3兩,太少兩感,溫陽益氣
黃連阿膠湯,黃連4兩/黃芩2兩/芍藥2兩/雞子黃0.6兩/阿膠3兩,陰虛火旺,滋陰降火
附子湯,附子0.6兩/茯苓3兩/人參2兩/白朮4兩/芍藥3兩,陽虛寒濕,溫陽祛濕
桃花湯,赤石脂16兩/乾薑1兩/粳米5兩,虛寒下利膿血,溫澀固脫
豬膚湯,豬膚16兩,陰虛喉痛,滋陰潤燥
甘草湯,甘草2兩,少陰咽痛,清熱解毒
桔梗湯,桔梗1兩/甘草2兩,咽痛,排膿消肿
苦酒湯,半夏4.2兩/雞子0.3兩,咽中生瘡,斂瘡潤燥
半夏散及湯,半夏1兩/桂枝1兩/甘草1兩,寒痰咽痛,溫化寒痰
白通湯,蔥白2.0兩/乾薑1兩/附子0.3兩,少陰下利,溫陽通脈
白通加豬膽汁湯,蔥白2.0兩/乾薑1兩/附子0.3兩/人尿2.5兩/豬膽汁0.5兩,戴陽,溫陽引熱
通脈四逆湯,甘草2兩/附子1.5兩/乾薑3兩,陰盛陽微,急救回陽通脈
四逆散,甘草1兩/枳實1兩/柴胡1兩/芍藥1兩,陽氣內鬱,和解疏肝
烏梅丸,烏梅90.0兩/細辛6兩/乾薑10兩/黃連16兩/附子6兩/當歸4兩/黃檗6兩/桂枝6兩/人參6兩/蜀椒4兩,蛔厥,安蛔止痛
當歸四逆湯,當歸3兩/桂枝3兩/芍藥3兩/細辛3兩/甘草2兩/通草2兩/大棗7.5兩,血虛寒厥,溫經養血
當歸四逆加吳茱萸生薑湯,當歸3兩/芍藥3兩/甘草2兩/通草2兩/大棗7.5兩/桂枝3兩/細辛3兩/生薑8兩/吳茱萸10兩,血虛寒厥久寒,溫經祛寒
麻黃升麻湯,麻黃2.5兩/升麻1兩/當歸1兩/知母0.75兩/黃芩0.75兩/萎蕤0.75兩/芍藥0.25兩/天門冬0.25兩/桂枝0.25兩/茯苓0.25兩/甘草0.25兩/石膏0.25兩/白朮0.25兩/乾薑0.25兩,上熱下寒,發越陽氣
乾薑黃芩黃連人參湯,乾薑3兩/黃芩3兩/黃連3兩/人參3兩,上熱下寒,苦降止嘔
白頭翁湯,白頭翁2兩/黃檗3兩/黃連3兩/秦皮3兩,熱利,清熱燥濕
四逆加人參湯,甘草2兩/附子0.3兩/乾薑1.5兩/人參1兩,陽亡脈不出,回陽益氣
理中丸,人參3兩/乾薑3兩/甘草3兩/白朮3兩,太陰虛寒,溫中健脾
通脈四逆加豬膽汁湯,甘草2兩/乾薑3兩/附子1.5兩/豬膽汁0.2兩,戴陽,回陽斂液
枳實梔子豉湯,枳實0.9兩/梔子1.4兩/香豉5兩,差後食復,消食清熱
牡蠣澤瀉散,牡蠣1兩/澤瀉1兩/蜀漆1兩/葶藶子1兩/商陸根1兩/海藻1兩/栝蔞根1兩,大病後水腫,逐水消腫
竹葉石膏湯,竹葉2兩/石膏16兩/半夏8兩/麥門冬5兩/人參2兩/甘草2兩/粳米2.5兩,餘熱不清,清熱益氣
四逆加吳茱萸生薑湯,當歸2兩/芍藥3兩/甘草2兩/通草2兩/桂枝3兩/細辛3兩/生薑8兩/大棗7.5兩/吳茱萸10兩,血虛寒厥久寒,溫經祛寒
